"RESPNO";"withinwt_ea";"URBRUR";"REGION";"EA_SVC_A";"EA_SVC_B";"EA_FAC_B";"EA_ROAD_C";"THISINT";"ADULT_CT";"CALLS";"Q1";"Q2";"Q46F";"Q46G";"Q46H";"Q46I";"Q57A";"Q57B";"Q58A";"Q58C";"Q90D";"Q90F";"Q90G";"Q91C";"Q92A";"Q94";"LENGTH";"Q101";"Q102";"Q103"
"CDI1094";0.882969999920481;"Rural";"MARAHOUE";"Oui";"Non";"Oui";"Passable";"Femme";"5";"1";"19";"Baoulé";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée inachevé";89;"Femme";"Noir / Africain";"Français"
"CDI0782";1.20915744292359;"Rural";"LA ME";"Oui";"Non";"Oui";"Passable";"Femme";"7";"1";"33";"Attié";"Très bien";"Très bien";"Très mal";"Très bien";"Non";"Non";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée achevé";76;"Femme";"Noir / Africain";"Français"
"CDI0813";1.3671558541582;"Urbain";"SAN-PEDRO";"Oui";"Oui";"Oui";"Bonne";"Homme";"4";"1";"22";"Godié";"Plutôt mal";"Ne sait pas / N’en a pas suffisamment entendu parler";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université inachevée";82;"Homme";"Noir / Africain";"Français"
"CDI0638";0.84652866156996;"Urbain";"GBEKE";"Oui";"Non";"Non";"Mauvaise";"Femme";"1";"1";"25";"Français";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";90;"Femme";"Noir / Africain";"Français"
"CDI0903";1.35964340354334;"Rural";"TONKPI";"Oui";"Oui";"Oui";"Bonne";"Homme";"2";"1";"38";"Mahouka";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Non, pas disponible";"Non";"Enseignement primaire inachevé";82;"Homme";"Noir / Africain";"Français"
"CDI0767";0.81628706804155;"Urbain";"HAUT-SASSANDRA";"Oui";"Non";"Oui";"Bonne";"Homme";"2";"1";"28";"Bété";"Plutôt mal";"Plutôt mal";"Très mal";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";80;"Homme";"Noir / Africain";"Français"
"CDI0350";0.834647290153479;"Rural";"BAGOUE";"Oui";"Oui";"Non";"Mauvaise";"Femme";"2";"1";"30";"Malinké / Dioula";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Non. Personne dans le ménage n’en possède";"Non applicable";"Oui, à l’intérieur de la maison";"Oui";"Enseignement informel seulement  (y compris enseignement coranique )";86;"Femme";"Noir / Africain";"Français"
"CDI0895";1.35964340354334;"Rural";"TONKPI";"Oui";"Oui";"Oui";"Bonne";"Femme";"3";"1";"22";"Mahouka";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement primaire inachevé";72;"Femme";"Noir / Africain";"Français"
"CDI1154";0.860198880737072;"Urbain";"TONKPI";"Oui";"Oui";"Oui";"Très bonne";"Femme";"2";"1";"18";"Malinké / Dioula";"Plutôt bien";"Très bien";"Très bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Pas d’enseignement formel";83;"Femme";"Noir / Africain";"Malinké / Dioula"
"CDI0458";0.665356962693929;"Rural";"BOUNKANI";"Oui";"Non";"Oui";"Très bonne";"Femme";"5";"1";"21";"Lobi";"Plutôt mal";"Très bien";"Très bien";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement primaire achevé";95;"Femme";"Noir / Africain";"Français"
"CDI0202";1.33054725076186;"Rural";"INDENIE-DJUABLIN";"Non";"Non";"Non";"Passable";"Homme";"3";"1";"35";"Agny";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Non";"Université achevée";126;"Homme";"Noir / Africain";"Français"
"CDI0158";1.03714615156326;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"3";"1";"24";"Français";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";102;"Homme";"Noir / Africain";"Français"
"CDI0189";0.75135455952802;"Urbain";"LÔH-DJIBOUA";"Oui";"Oui";"Oui";"Passable";"Femme";"5";"1";"36";"Français";"Plutôt bien";"Plutôt bien";"Très bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";70;"Femme";"Noir / Africain";"Français"
"CDI0032";1.05867859761648;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"6";"1";"55";"Français";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Très bien";"Non";"Non";"Non";"Autre raison";"Oui (en possède personnellement)";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";300;"Femme";"Noir / Africain";"Français"
"CDI0958";1.20174861090412;"Rural";"SAN-PEDRO";"Non";"Non";"Oui";"Passable";"Femme";"6";"1";"21";"Malinké / Dioula";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Pas d’enseignement formel";56;"Femme";"Noir / Africain";"Français"
"CDI1146";1.08214387801876;"Rural";"GBEKE";"Non";"Non";"Non";"Très mauvaise";"Homme";"5";"1";"41";"Baoulé";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Non";"Le vaccin peut causer la COVID-19";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement primaire achevé";75;"Homme";"Noir / Africain";"Français"
"CDI0215";1.15108867859487;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Femme";"2";"1";"45";"Français";"Très mal";"Très mal";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";58;"Femme";"Noir / Africain";"Français"
"CDI0590";1.50606064171008;"Urbain";"HAUT-SASSANDRA";"Oui";"Oui";"Oui";"Passable";"Homme";"6";"1";"26";"Yacouba";"Très bien";"Plutôt bien";"Très mal";"Très mal";"Oui";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université inachevée";48;"Homme";"Noir / Africain";"Français"
"CDI0043";0.994081259456831;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"1";"1";"39";"Français";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Le vaccin peut causer d’autres effets secondaires indésirables";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";94;"Homme";"Noir / Africain";"Français"
"CDI0582";1.10405532906132;"Urbain";"PORO";"Oui";"Oui";"Oui";"Très bonne";"Homme";"2";"1";"52";"Sénoufo";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Pas d’enseignement formel";111;"Homme";"Noir / Africain";"Français"
"CDI0125";1.03714615156326;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"3";"1";"34";"Français";"Très mal";"Très mal";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée achevé";265;"Femme";"Noir / Africain";"Français"
"CDI0208";1.10712660123622;"Urbain";"ABIDJAN";"Non";"Non";"Non";"Impraticable";"Homme";"7";"1";"24";"Agny";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Non";"Le vaccin n’est pas sûr";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Université achevée";113;"Homme";"Noir / Africain";"Français"
"CDI0801";0.646999759593573;"Urbain";"LÔH-DJIBOUA";"Oui";"Oui";"Oui";"Passable";"Homme";"1";"1";"35";"Français";"Très mal";"Plutôt mal";"Très mal";"Plutôt mal";"Non";"Oui";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée achevé";64;"Homme";"Noir / Africain";"Français"
"CDI1183";0.87801484983239;"Urbain";"GBEKE";"Oui";"Oui";"Oui";"Mauvaise";"Femme";"3";"1";"20";"Français";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";77;"Femme";"Noir / Africain";"Français"
"CDI1073";0.95286070745725;"Rural";"TONKPI";"Oui";"Oui";"Oui";"Passable";"Homme";"2";"1";"35";"Yacouba";"Plutôt bien";"Très bien";"Très bien";"Très bien";"Non";"Oui";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";76;"Homme";"Noir / Africain";"Français"
"CDI0564";1.59114945743248;"Urbain";"SUD-COMOE";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"3";"1";"20";"Sénoufo";"Plutôt mal";"Très mal";"Très mal";"Très mal";"Non";"Oui";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Pas d’enseignement formel";64;"Homme";"Noir / Africain";"Français"
"CDI0013";0.968062887142528;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"1";"1";"21";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";106;"Homme";"Noir / Africain";"Français"
"CDI0237";0.895390881712922;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"2";"1";"41";"Français";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";117;"Homme";"Noir / Africain";"Français"
"CDI0138";0.960885405124789;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Très mauvaise";"Femme";"2";"1";"23";"Français";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Pas d’enseignement formel";147;"Femme";"Noir / Africain";"Français"
"CDI0569";1.44746172951305;"Urbain";"NAWA";"Oui";"Non";"Oui";"Passable";"Homme";"1";"1";"67";"Français";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";79;"Homme";"Noir / Africain";"Français"
"CDI1041";1.05545310177223;"Rural";"NAWA";"Non";"Non";"Oui";"Mauvaise";"Femme";"7";"1";"35";"Baoulé";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Enseignement secondaire / lycée inachevé";61;"Femme";"Noir / Africain";"Français"
"CDI0980";1.25957733224132;"Urbain";"TCHOLOGO";"Oui";"Oui";"Oui";"Très bonne";"Femme";"2";"1";"28";"Sénoufo";"Très bien";"Plutôt mal";"Très mal";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Pas d’enseignement formel";70;"Femme";"Noir / Africain";"Français"
"CDI0197";0.75135455952802;"Urbain";"LÔH-DJIBOUA";"Oui";"Oui";"Oui";"Passable";"Homme";"1";"1";"27";"Français";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Le vaccin a été mis au point trop rapidement";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée achevé";69;"Homme";"Noir / Africain";"Français"
"CDI0193";1.19235920019687;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Très mauvaise";"Femme";"10";"1";"20";"Malinké / Dioula";"Très bien";"Plutôt bien";"Très mal";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Pas d’enseignement formel";149;"Femme";"Noir / Africain";"Français"
"CDI0252";1.15378023435152;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"6";"1";"22";"Français";"Très mal";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";100;"Femme";"Noir / Africain";"Français"
"CDI0038";0.744663759340406;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"1";"1";"28";"Abron";"Plutôt mal";"Plutôt mal";"Très mal";"Plutôt bien";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";101;"Homme";"Noir / Africain";"Français"
"CDI0491";0.97524036916027;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Passable";"Femme";"5";"1";"43";"Français";"Plutôt bien";"Très bien";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Pas d’enseignement formel";89;"Femme";"Noir / Africain";"Français"
"CDI0519";0.810286143608934;"Rural";"KABADOUGOU";"Oui";"Non";"Oui";"Bonne";"Homme";"4";"1";"26";"Malinké / Dioula";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Pas d’enseignement formel";89;"Homme";"Noir / Africain";"Français"
"CDI1189";0.965982729911639;"Rural";"TONKPI";"Oui";"Non";"Oui";"Passable";"Homme";"3";"1";"44";"Yacouba";"Très mal";"Plutôt bien";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Non. Personne dans le ménage n’en possède";"Non applicable";"Oui, hors de la concession";"Non";"Pas d’enseignement formel";79;"Homme";"Noir / Africain";"Français"
"CDI0532";1.59114945743248;"Urbain";"SUD-COMOE";"Oui";"Non";"Oui";"Très mauvaise";"Femme";"1";"1";"54";"Malinké / Dioula";"Plutôt mal";"Très mal";"Très mal";"Très mal";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Pas d’enseignement formel";68;"Femme";"Noir / Africain";"Français"
"CDI0018";0.744663759340406;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Femme";"1";"1";"42";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Le vaccin peut causer l’infertilité";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";115;"Femme";"Noir / Africain";"Français"
"CDI0219";1.15378023435152;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"2";"1";"20";"Français";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Pas d’enseignement formel";123;"Homme";"Noir / Africain";"Français"
"CDI0175";1.07662230266083;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très mauvaise";"Femme";"2";"1";"25";"Gouro";"Très mal";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Oui";"Oui";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";90;"Femme";"Noir / Africain";"Français"
"CDI0468";0.627908989818952;"Urbain";"IFFOU";"Oui";"Non";"Non";"Bonne";"Femme";"4";"1";"18";"Baoulé";"Plutôt mal";"Plutôt mal";"Très bien";"Très bien";"Oui";"Oui";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Pas d’enseignement formel";105;"Femme";"Noir / Africain";"Français"
"CDI0906";0.744046628179774;"Urbain";"BELIER";"Oui";"Oui";"Oui";"Bonne";"Femme";"10";"1";"35";"Malinké / Dioula";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";71;"Femme";"Noir / Africain";"Français"
"CDI0053";1.05060393034652;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Femme";"4";"1";"29";"Français";"Très mal";"Très mal";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Avoir peur des vaccins en général";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";80;"Femme";"Noir / Africain";"Français"
"CDI0879";1.26699893239935;"Rural";"GBOKLE";"Non";"Non";"Oui";"Passable";"Femme";"3";"1";"28";"Godié";"Plutôt bien";"Plutôt bien";"Très mal";"Plutôt mal";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Enseignement secondaire / lycée inachevé";70;"Femme";"Noir / Africain";"Français"
"CDI0836";0.96662590944836;"Rural";"BELIER";"Non";"Oui";"Oui";"Passable";"Homme";"5";"1";"35";"Baoulé";"Plutôt bien";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée inachevé";107;"Homme";"Noir / Africain";"Français"
"CDI0016";0.994081259456831;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"3";"1";"21";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Non";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université inachevée";90;"Homme";"Noir / Africain";"Français"
"CDI0666";0.88525973812239;"Rural";"LA ME";"Oui";"Non";"Oui";"Très mauvaise";"Femme";"5";"1";"51";"Français";"Plutôt mal";"Très mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Ne sait pas";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";89;"Femme";"Noir / Africain";"Français"
"CDI0844";1.46980976288612;"Urbain";"LA ME";"Oui";"Oui";"Oui";"Bonne";"Homme";"1";"1";"32";"Français";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Université inachevée";80;"Homme";"Noir / Africain";"Français"
"CDI0354";0.935764218062703;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"3";"1";"32";"Godié";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Oui";"Non";"Je ne cours aucun risque ou risque faible de choper la COVID-19/Faible risque de contracter la COVID-19";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";118;"Homme";"Noir / Africain";"Français"
"CDI1016";1.09370269679888;"Rural";"MARAHOUE";"Non";"Non";"Oui";"Passable";"Homme";"5";"1";"27";"Gouro";"Plutôt bien";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Université inachevée";92;"Homme";"Noir / Africain";"Français"
"CDI0309";1.19505075595352;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"8";"1";"20";"Agny";"Très mal";"Très mal";"Plutôt mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, à l’intérieur de la maison";"Oui";"Qualifications post-secondaires autres qu’universitaires (certificat ou diplôme d'école polytechnique)";93;"Femme";"Noir / Africain";"Français"
"CDI0281";1.19505075595352;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"1";"1";"34";"Français";"Très mal";"Très mal";"Plutôt mal";"Très mal";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";94;"Homme";"Noir / Africain";"Français"
"CDI0795";1.3671558541582;"Urbain";"SAN-PEDRO";"Oui";"Oui";"Oui";"Bonne";"Femme";"2";"1";"27";"Français";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université inachevée";63;"Femme";"Noir / Africain";"Français"
"CDI0096";0.890007770199618;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"1";"2";"33";"Français";"Très mal";"Très bien";"Plutôt bien";"Très bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";136;"Homme";"Noir / Africain";"Français"
"CDI0717";0.620001864416937;"Urbain";"BERE";"Oui";"Oui";"Oui";"Très bonne";"Homme";"9";"1";"42";"Français";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Pas d’enseignement formel";108;"Homme";"Noir / Africain";"Français"
"CDI0539";1.44746172951305;"Urbain";"NAWA";"Oui";"Non";"Oui";"Passable";"Femme";"1";"1";"23";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";84;"Femme";"Noir / Africain";"Français"
